KIC,d_est,d_lo,d_hi,E(B-V),A_r,A_J,A_K,r,J,K
8647238,146.6367277,145.6238462,147.6635435,0.06288256,0.15613739,0.04087366,0.01012409,16.304,13.047,12.17
8655334,111.4508641,110.8511358,112.0570002,0.00892188,0.02215303,0.00579922,0.00143642,15.762,12.612,11.808
8669203,189.8244467,186.9249774,192.8136237,0.01346178,0.03342561,0.00875016,0.00216735,17.247,13.752,12.922
8733898,96.33902405,95.83027302,96.85310855,0.00313094,0.00777413,0.00203511,0.00050408,16.794,13.59,12.826
8776305,78.5469332,78.27687602,78.8188269,0.00517414,0.01284738,0.00336319,0.00083304,15.488,12.125,11.4
8804334,157.2128557,155.1973847,159.2804034,0.0126558,0.03142434,0.00822627,0.00203758,17.775,13.949,13.134
8815854,190.4579494,186.5025929,194.581582,0.01972219,0.04897021,0.01281943,0.00317527,18.295,14.719,13.884
8837812,158.8997762,156.9937699,160.8517854,0.01535545,0.03812758,0.00998104,0.00247223,17.533,13.919,13.147
8869922,51.28920402,51.14492938,51.43428039,0.00307268,0.00762947,0.00199724,0.0004947,16.028,11.893,11.025
8872565,20.53946089,20.50994731,20.56905802,0.00079754,0.0019803,0.0005184,0.0001284,13.672,9.85,9.027
8888543,71.04222513,70.68230463,71.40576399,0.00537052,0.01333501,0.00349084,0.00086465,14.317,10.96,10.08
8939955,199.7894803,197.8274581,201.7901017,0.01222644,0.03035825,0.00794719,0.00196846,16.894,13.672,12.829
8956025,140.7276358,139.5574375,141.9172685,0.02004516,0.04977213,0.01302935,0.00322727,16.764,13.112,12.25
8977910,112.2930471,111.7388898,112.8526296,0.02671658,0.06633728,0.01736578,0.00430137,15.535,12.352,11.522
9004724,105.5233981,104.8573476,106.1978116,0.00547544,0.01359552,0.00355904,0.00088155,17.356,13.832,13.06
9005690,106.1607908,105.0562231,107.2884092,0.00718207,0.01783309,0.00466835,0.00115631,18.095,14.402,13.605
9113974,132.7110641,131.4865388,133.9581974,0.01462359,0.03631037,0.00950533,0.0023544,16.711,13.15,12.368
9117378,115.2241839,114.108107,116.3619119,0.01450217,0.03600889,0.00942641,0.00233485,17.766,14.301,13.493
9138406,227.7067035,224.2982217,231.218465,0.01550039,0.03848748,0.01007526,0.00249556,16.841,13.894,13.031
9202152,155.0042495,153.3625453,156.6808411,0.00993669,0.02467281,0.00645885,0.00159981,17.144,13.763,12.948
9202551,212.4368083,209.5433861,215.4097866,0.01507985,0.03744328,0.00980191,0.00242786,17.101,13.817,12.993
